月,売上高,源泉徴収税額,入金額,取引先,品目
2025-01,800000,81680,718320,(株)ABC商事,コンサルティング費用
2025-01,300000,30630,269370,(有)デザインプロ,Webデザイン制作
2025-02,850000,86785,763215,(株)ABC商事,コンサルティング費用
2025-02,250000,25525,224475,山田建設(株),システム設計
2025-03,900000,91890,808110,(株)ABC商事,コンサルティング費用
2025-03,180000,18378,161622,(株)グローバルトレード,翻訳業務
2025-04,780000,79638,700362,(株)ABC商事,コンサルティング費用
2025-04,350000,35735,314265,テクノソリューション(株),ITインフラ構築
2025-05,850000,86785,763215,(株)ABC商事,コンサルティング費用
2025-05,200000,20420,179580,NPO法人みらい教育,研修講師
2025-06,920000,93932,826068,(株)ABC商事,コンサルティング費用
2025-06,150000,15315,134685,(株)フードデリバリー,アプリ保守
2025-07,800000,81680,718320,(株)ABC商事,コンサルティング費用
2025-07,280000,28588,251412,山田建設(株),システム開発
2025-08,850000,86785,763215,(株)ABC商事,コンサルティング費用
2025-08,320000,32672,287328,(株)サンライズ物流,物流システム保守
2025-09,780000,79638,700362,(株)ABC商事,コンサルティング費用
2025-09,180000,18378,161622,(有)デザインプロ,Webデザイン更新
2025-10,900000,91890,808110,(株)ABC商事,コンサルティング費用
2025-10,250000,25525,224475,テクノソリューション(株),ITインフラ保守
2025-11,850000,86785,763215,(株)ABC商事,コンサルティング費用
2025-11,400000,40840,359160,山田建設(株),システム開発フェーズ2
2025-12,920000,93932,826068,(株)ABC商事,コンサルティング費用
2025-12,200000,20420,179580,NPO法人みらい教育,研修講師（年末特別）
