取引ID,日付,取引先,金額,税率,摘要,推定借方科目,推定貸方科目,ステータス
TXN-001,2026-03-01,(株)ABC商事,150000,10%,3月分仕入,仕入高,買掛金,未確定
TXN-002,2026-03-03,山田電機(株),32400,10%,プリンター用トナー,消耗品費,未払金,未確定
TXN-003,2026-03-05,オフィスナビ(株),88000,10%,3月分オフィス賃料,地代家賃,普通預金,未確定
TXN-004,2026-03-07,NTTコミュニケーションズ,12100,10%,3月分インターネット回線,通信費,普通預金,未確定
TXN-005,2026-03-10,(有)鈴木運輸,44000,10%,配送料（3月前半）,荷造運賃,買掛金,未確定
TXN-006,2026-03-12,クリーンサービス(株),22000,10%,清掃業務委託費,外注費,未払金,未確定
TXN-007,2026-03-14,東京海上日動,35200,非課税,火災保険料（3月分按分）,損害保険料,前払費用,未確定
TXN-008,2026-03-15,(株)大和文具,8800,10%,コピー用紙・ファイル,事務用品費,現金,未確定
TXN-009,2026-03-18,JR東日本,23400,10%,出張交通費（東京-大阪往復）,旅費交通費,現金,未確定
TXN-010,2026-03-20,居酒屋きらく,38500,10%,取引先接待（5名）,交際費,現金,未確定
TXN-011,2026-03-22,(株)テックラボ,330000,10%,Webサイト制作業務委託,外注費,買掛金,未確定
TXN-012,2026-03-25,Amazon Web Services,54780,10%,AWS利用料3月分,通信費,普通預金,未確定
